Geographical Location,Report Date,MDS Item Question/Description,MDS Item Response,Percent,Total Residents
Alaska,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Arizona,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Arizona,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Arkansas,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Arkansas,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
California,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
California,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Colorado,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Colorado,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Connecticut,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Connecticut,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Delaware,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Delaware,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
District of Columbia,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
District of Columbia,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Florida,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Florida,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Georgia,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Georgia,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Hawaii,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Hawaii,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Idaho,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Idaho,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Illinois,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Illinois,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Indiana,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Indiana,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Iowa,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Iowa,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Kansas,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Kansas,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Kentucky,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Kentucky,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Louisiana,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Louisiana,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Maine,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Maine,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Maryland,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Maryland,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Massachusetts,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Massachusetts,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Michigan,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Michigan,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Minnesota,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Minnesota,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Mississippi,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Mississippi,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Missouri,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Missouri,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Montana,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Montana,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Nebraska,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Nebraska,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Nevada,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Nevada,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
New Hampshire,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
New Hampshire,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
New Jersey,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
New Jersey,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
New Mexico,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
New Mexico,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
New York,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
New York,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
North Carolina,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
North Carolina,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
North Dakota,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
North Dakota,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Ohio,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Ohio,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Oklahoma,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Oklahoma,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Oregon,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Oregon,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Pennsylvania,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Pennsylvania,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Puerto Rico,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Puerto Rico,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Rhode Island,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Rhode Island,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
South Carolina,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
South Carolina,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
South Dakota,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
South Dakota,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Tennessee,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Tennessee,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Texas,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Texas,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Utah,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Utah,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Vermont,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Vermont,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Virgin Islands,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Virgin Islands,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Virginia,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Virginia,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Washington,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Washington,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
West Virginia,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
West Virginia,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Wisconsin,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Wisconsin,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Wyoming,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Wyoming,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
National Total,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
National Total,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Alabama,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Alabama,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Alaska,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Alaska,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Arizona,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Arizona,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Arkansas,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Arkansas,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
California,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
California,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Colorado,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Colorado,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Connecticut,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Connecticut,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Delaware,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Delaware,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
District of Columbia,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
District of Columbia,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Florida,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Florida,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Georgia,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Georgia,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Hawaii,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Hawaii,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Idaho,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Idaho,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Illinois,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Illinois,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Indiana,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Indiana,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Iowa,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Iowa,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Kansas,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Kansas,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Kentucky,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Kentucky,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Louisiana,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Louisiana,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Maine,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Maine,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Maryland,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Maryland,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Massachusetts,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Massachusetts,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Michigan,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Michigan,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Minnesota,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Minnesota,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Mississippi,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Mississippi,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Missouri,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Missouri,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Montana,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Montana,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Nebraska,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Nebraska,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
Nevada,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
Nevada,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
New Hampshire,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
New Hampshire,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
New Jersey,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,Yes,*,*
New Jersey,"Q1, 2025",A1000C: Identification Information - Race/Ethnicity - Black or African American,No,*,*
